reaction   FLUX    DeltaG
ALDD22x                 0.00000               -27.08328
ALDD2x                 0.00000               -40.27311
ALDD31_f                 0.00000               -26.08328
ALPHNH                 0.00000               -73.15163
AMANAPEr_f                 0.00000                 2.10000
AMAOTr_f                 0.00000                -0.58271
AMID                 0.00000                 3.90000
AMID3                 0.00000                 2.30000
AMID4                 0.00000                -2.80274
AMPEP10_f                 0.00000                29.62450
AMPEP13_f                 0.00000                67.24899
AMPTASECG                 0.00000                 9.00000
ANPRT                 0.00187               -43.91174
ANS                 0.00000               -83.82504
ANS2                 0.00187               -81.58383
AOBUTDs                 0.00000               -23.50000
AOXSr_f                 0.00000               -24.32450
APAT_f                 0.00000                 7.66258
APG3PAT140a                 0.00000                -5.53664
APRAUR                 0.00000                51.97992
APRTO2                 0.00000               -77.10000
ARABR_f                 0.00000                38.47992
ARGDr                 0.00000                14.42450
ARGN                 0.00000               -33.66258
ARGSL_f                 0.90745                -1.97550
ASNN                 0.00000                -1.50000
ASNS1                 0.00000               -41.12582
ASP1DC                 0.00002               -59.32450
ASPabc                 1.09600               -16.07587
ASPKi                 0.00506               -12.32450
ASPT_f                 0.00000                 1.50000
ASPTA_f                 2.14409                -1.50000
AT_MBD_f                 0.00000                 2.80000
AT_MBD1_f                 0.00000                 2.80000
AT_MBD2_f                 0.00000                 2.80000
ATPM                 7.50000               -16.07587
BETALDHx                 0.00000               -22.48328
BETALDHy                 0.00000                -4.50587
BETALOD_f                 0.00000               -94.38579
BTNt                 0.00000               -16.07587
CA2abc                 0.00017               -51.70037
CAT                 1.03993              -186.06258
CGLYabc                 0.00000               -16.07587
CHLabc                 0.00000               -16.07587
CHOLD                 0.00000                23.10250
CHOLOD_f                 0.00000               -48.00000
CHOLSabc                 0.00000               -16.07587
CHORM                 0.01063               -49.00000
CITL                 0.00000                25.98434
CLPNS160_f                 0.00000                28.52450
CPPPGO                 0.00034              -361.46258
CRNabc                 0.00000               -16.07587
CTBTabc                 0.00000               -16.07587
CTPS1                 1.91596                -1.50000
CTPS2                 0.00000                -3.04121
Cut1                 0.00000               -51.70037
CYSabc                 0.00809               -51.70037
CYSDS                 0.00000                22.66455
CYSGL                 0.00000                -6.78657
CYSS                 0.00000               -30.15111
CYSTGL                 0.00000                -4.52713
CYSTL                 1.35706                -1.50000
CYSTSr_f                 1.35200               -36.95995
CYTBD2                11.04000              -148.76024
CYTD                 0.00000                22.37287
CYTK1_f                 0.22641               -34.22450
CYTK2_f                 0.00000                 1.50000
DADA5_f                 0.00000                -8.15163
DADK_f                 0.00000                 1.50000
DAPDA_f                 0.00000               -36.52724
DAPDC                 0.00000               -57.32450
DAPE_f                 0.00000                33.92450
DATPHs                 0.00000               -12.35163
DB4PS                 0.00002               -32.93104
DBTS                 0.00000                46.88317
DCMPDA                 0.00000               -23.15163
DCYTD                 0.00000               -20.45163
DDGLK                 0.00000               -40.07287
DGK1_f                 0.00000                 1.50000
DGLUO_f                 0.00000                17.10250
DHAD1                 0.97054               -30.96258
DHAD2                 0.00000               -30.96258
DHAD3                 0.13724               -30.96258
DHAK                 0.00000               -25.07287
DHAPT                 0.00000               -26.57287
DHDPRy_f                 0.00000                47.87992
DHDPS                 0.00000              -110.33809
DHFR_f                 0.00000                81.10442
DHFS                 0.00002                -3.86466
DHNPA2_f                 0.00002                13.13742
DHORD                 2.07987               -89.37550
DHORD5                 0.00000               -19.00000
DHORTS_f                 0.00000                 4.21421
DHPS2                 0.00002               -82.53623
DHQD_f                 0.01253                -1.50000
DMATT                 0.00033               -61.01174
DNMPPA                 0.00000                22.16700
DPMVD                 0.00103               -55.69295
DPR_f                 0.00000                 6.85542
DRBabc                 0.00000               -16.07587
DRPA                 0.00000                 1.50000
DRPAr_f                 0.00000                 1.50000
DTMPK_f                 0.00067               -37.92450
E4PD_f                 0.00000               -32.27037
ECOAH1_f                 0.00000                 8.43742
ECOAH3_f                 0.00000                 5.53742
ECOAH7_f                 0.00000                 5.53742
EDA                 0.00000                27.86455
EHGLAT_f                 0.00000                -4.56258
FACOAL160                 0.00000               -29.53623
FBA2_f                 0.00000                41.93742
FBA3_f                 5.38146                -1.50000
FDFP_f                 0.00000              -140.91174
FDH                 0.00000               -53.95941
FE2abc                 0.00000               -51.70037
FECRMabc                 0.00000               -16.07587
FERO_f                 0.00000                41.22890
FF_26_f                 0.00000               -33.37287
FFSD                 0.00000                14.52450
FLDO                 0.00000               -52.07992
FLVR                 0.00000               -71.50442
FLVRx                 0.00000               -53.92700
FMNRx                 0.00000               -34.00250
FRTT                 0.00000               -62.61174
FRUK                 0.00000               -36.77287
FRUpts_f                 0.00000               -35.57287
FTHFCL                 0.00000               -64.50587
FTHFL                 0.00000               -44.78199
G1PACT                 0.16039               -23.40587
G1SAT_f                 0.00000                44.62450
G3PD                 0.00000                 8.46336
G3PD2_f                 0.00000                53.64328
G3PD6                 0.00000               -32.26113
G5SAD                 0.00000                22.11354
G6PDA                 0.00000                 0.05879
G6PDH2r_f                 5.38251               -15.84458
G6PI3                 0.00000               -25.19284
G6PP                 0.00220               -13.85750
GAL6PI_f                 0.00000                -1.50000
GALabcpp                 0.00000               -51.70037
GALKr_f                 0.00000               -33.57287
GALpts_f                 0.00000               -37.77287
GALS3                 0.00000                 1.70000
GALTpts_f                 0.00000               -37.37287
GALUi                 0.11919               -32.53362
GAMpts_f                 0.00000                 1.50000
GARFT_f                 0.00000                19.55163
GCALDD                 0.00002               -46.88328
GF6PTAr_f                 1.22514                -1.50000
GGTT                 0.00000               -62.61174
GHMT2r_f                 0.00000                15.04458
GK1_f                 0.02206               -36.52450
GLCOAD_f                 0.00000                16.30000
GLCRAL                 0.00000                36.66455
GLCRD                 0.00000               -35.06258
GLGC                 0.00000               -67.51236
GLN_NAct                 1.23694               -51.70037
GLNS                 0.00000               -14.56466
GLNSP2                 0.00000               -15.10587
GLTPD_f                 0.00000                21.60250
GLUabc                 0.00000               -19.21708
GLUDx                 0.00000                51.93509
GLUPRT                 0.00000               -46.85295
GLUR_f                 2.85411                -1.50000
GLUSx                 0.00000               -53.40630
GLUSy                 0.00000               -71.38372
GLXIII                 0.00000               -45.98579
GLXO1_f                 0.00000               -13.48328
GLYALDDr_f                 0.00000               -37.18328
GLYASNabc                 0.00000               -16.07587
GLYASPtr                 0.00000               -16.07587
GLYAT                 0.00000                21.90000
GLYC3Pabc                 0.00000               -13.23923
GLYD_f                 0.00000               -36.70250
GLYGLUtr                 0.00000               -16.07587
GLYOX                 0.00000               -16.64837
GLYPRO__Ltr                 0.00000               -16.07587
GMHEPAT                 0.00000               -45.08786
GMHEPK                 0.00000               -28.87287
GMHEPPA                 0.00000                22.16700
GND                 5.38251                -1.50000
GNNUC                 0.00000                33.82450
GRTT                 0.00033               -62.61174
GTHRDHpp                 0.00000                30.68328
GUAPRT                 0.15021               -48.63623
GUI1_f                 0.00000                 0.60000
HACD1_f                 0.00000                21.40250
HACD2_f                 0.00000                24.00250
HACD3_f                 0.00000                24.10250
HACD4_f                 0.00000                24.10250
HACD5_f                 0.00000                24.10250
HACD6_f                 0.00000                24.10250
HACD7_f                 0.00000               -24.10250
HACD9_f                 0.00000                24.10250
HADPCOADH3_f                 0.00000                24.10250
HBZOPT                 0.00000               -66.31174
HCO3E_f                 0.15100                -1.50000
HCYSMT                 0.00000               -74.62450
HEMEti                 0.00000               -16.07587
HEXTT                 0.00000               -62.61174
HIBD_f                 0.00000                26.50250
HISabc_f                 0.00000               -16.07587
HISDr_f                 0.00000                30.73742
HISTD                 0.00000                 7.41922
HMBS                 0.00034              -211.89799
HMGCOARi                 0.00103               -44.22243
HMGCOAS                 0.00103               -19.88579
HMGCOASi                 0.00000               -19.88579
HSDy_f                 0.00000                45.97992
HSERTA                 0.00506               -41.40000
HSTPTr_f                 0.00000                17.59491
HXPRT                 0.00000                10.23402
ICHORS_f                 0.00000                 0.90000
ICHORT                 0.00000               -35.57287
IGPDH                 0.00312               -36.56258
IGPS                 0.00187               -46.12517
ILETA_f                 0.08826               -35.58708
IMACTD_f                 0.00000               -23.78328
IMPC_f                 0.00000                 1.50000
IMPD                 0.00000                -1.88067
INSH                 0.00000               -42.42450
IPDDI_f                 0.00033                -4.80000
IPMD                 0.00000                24.10250
IPPMIa_f                 0.00000                 2.23742
IPPMIb_f                 0.00000                 6.33742
IPPS                 0.00000               -27.78579
Kabc                 0.00000               -51.70037
KARA1                 0.00000               -49.86951
KARA1i                 0.97054               -49.86951
KARA2i                 0.13724               -42.07992
KAS13                 0.01827             -1156.02375
KAS17                 0.00000             -1073.14383
KAS8                 0.00703             -1015.87683
LACpts_f                 0.00000               -36.57287
LCADi                 0.00000               -32.38328
LDH_D_f                 0.00000                34.62963
LDH_L_f                 0.00000                37.72963
LEUTA_f                 0.05893               -29.38708
LPLIPAL1G180pp                 0.00000                -2.24837
LPLIPAL2E160                 0.00000               -11.44837
LPLIPAL2G160                 0.00000               -11.44837
LPLIPAL2G180                 0.00000                -8.94837
LYSabc                 0.00000               -51.70037
LYSDC                 0.00000               -28.70000
M1PD                 0.00000                30.23416
MALT_f                 0.00000               -14.20000
MALTabc                 0.00000               -16.07587
MALTAT                 0.00000               -16.40000
MALTHXabc                 0.00000               -16.07587
MALTpts_f                 0.00000               -32.97287
MALTTRabc                 0.00000               -16.07587
MAN6PI                 0.00000                13.53166
MANAO_f                 0.00000                22.00250
MANpts_f                 0.00000               -38.17287
MBCOA3                 0.00000              -339.06258
MDRPD                 0.00000               -35.06258
ME1_rev                 0.00000                19.52963
METabc                 0.00000               -51.70037
METALAtr                 0.00000               -16.07587
METDabc                 0.00000               -16.07587
METSOX1abc                 0.00000               -16.07587
METSOX2abc                 0.00000               -16.07587
MEVK2                 0.00000                 0.55163
MEVK3                 0.00000               -32.77287
MEVK4                 0.00000                -6.09413
MG2abc                 0.00000               -51.70037
MHPGLUT                 0.00000               -74.62450
MLTG1                 0.00000               -15.00000
MMSAD3                 0.00000               -16.93491
MNabc                 0.00000               -51.70037
MNLpts_f                 0.00000               -36.67287
MNNH                 0.00000               -29.06258
MOBDabc                 0.00000               -51.70037
MOHMT                 0.00002               -20.77992
MTAN                 0.00000                20.12450
MTHFC_f                 0.00312                -1.50000
MTHFD_f                 0.00312                -1.50000
MTRK                 0.00000               -22.27287
NA6PH_f                 0.00000                -3.20000
NABTNO                 0.00000               -23.58328
NADH10                 0.00000               -67.92700
NADH7                 0.00000               -67.92700
NALN6                 0.00000                37.62450
NAPRTr_f                 0.00000                41.28786
NBAH_f                 0.00000                -0.30000
NDPK1_f                 0.00000                -2.00000
NDPK2_f                 2.15772               -28.67874
NDPK3_f                 0.20897               -35.32450
NDPK4_f                 0.00069                -1.50000
NDPK5_f                 0.00000               -66.04899
NDPK6_f                 0.00000               -36.62450
NDPK7_f                 0.00000               -67.44899
NDPK8_f                 0.00000               -67.54899
NDPK9                 0.00000               -34.32450
NIabc                 0.00001               -51.70037
NNAM                 0.00000                46.02450
NO3R2_f                 3.64772               -96.41603
NO3R2pp                 0.00000              -128.29101
NODOx                 1.82386              -404.82509
NODOy                 0.00000              -423.40250
NOPD                 0.00000                64.52579
NPHSr_f                 0.00000              -102.06258
NTP11                 0.00000                12.41863
NTRIR2x                 3.38300              -408.23594
NTRIR2y                 0.00000              -461.96818
OBTFL_f                 0.00000                31.62450
OCTD                 0.00000                60.30705
OIVD1r                 0.05893               -27.33491
OIVD2                 0.00876               -26.13491
OIVD3                 0.22550               -26.13491
OMPDC                 2.07987                -5.44576
OPHHXy                 0.00000              -465.87992
ORNDC                 0.00000               -34.03742
ORNTAC                 0.00000               -29.84587
ORNTAr_f                 0.00000                 1.50000
ORPT_f                 2.07987                -8.13623
P5CD                 0.00000               -20.71354
PAPPT2_f                 0.00000                 5.64837
PAPPT3                 0.00000                -1.50000
PAPSR                 0.00000               -37.13925
PC                 0.00000                26.25408
PDHbr_f                 0.00000                -3.50000
PDHcr                 0.00000                10.10250
PEPC_f                 0.00000                24.75408
PPTT                 0.00000               -62.61174
PRAGS                 0.00000               -14.80587
PRAI_f                 0.00187                -9.80000
PRASCS                 0.00000               -98.93037
PRMICIi_f                 0.00312               -45.42450
PROabc                 0.00000               -16.07587
PSERT                 0.00000                16.13742
PTPATi                 0.00002               -53.08786
PTRCabc                 0.00000               -16.07587
PUTA3_f                 0.00000                 1.50000
PYK3_f                 0.13325                -3.50000
PYRZAM                 0.00000                 7.90000
RAFH_f                 0.00000               -24.10000
RBFSb                 0.00001               -28.75101
RE0453C_f                 0.00000                65.94899
RETOx_f                 0.00000                16.40250
RHCCE                 0.00001                -9.66258
RIBabc                 0.00000               -16.07587
RIBabc2                 0.00000               -16.07587
RNDR1                 0.02568               -34.81801
RNDR2                 0.02007               -32.81801
RNDR3                 0.01744               -30.41801
RNDR4                 0.00000               -68.94250
RNTR1                 0.00000              -102.86700
RNTR2                 0.00000               -96.86700
RNTR3                 0.00033               -62.54250
RNTR4                 0.00000               -76.88826
RPE_f                 2.11051                -1.50000
RPI_f                 0.00000                 8.14458
RSLML_f                 0.00000                29.43742
S1AGPA                 0.00000                -3.60000
S7PIr_f                 0.00000                -1.25163
SADT2                 0.00000                -0.09373
SALCOD                 0.00000              -463.00250
SBTpts_f                 0.00000               -39.47287
SDPDS                 0.00000                 9.96258
SERAT_f                 0.00000               -54.62450
SERD_L                 0.58111               -38.55995
SERD_Lr                 0.77500               -38.55995
SHK3Dr_f                 0.00000                66.56700
SHSL4r                 0.00000               -20.64837
SMALO                 0.00000                33.28708
SPMDabc                 0.00000               -16.07587
SPMDAT1                 0.00000               -18.14837
SPMDAT2                 0.00000               -18.14837
SQLS                 0.00000              -155.76598
SSALy                 0.00000                -2.54328
SUCBZS                 0.00000               -33.06258
SUCD1                 0.00000                40.12450
SUCpts_f                 0.00000               -42.87287
SUCR                 0.00000               -24.70000
TAGO                 0.02297                -1.50000
TALA_f                 0.00000                10.56711
TGBPA_f                 0.00000                34.83742
THDPS                 0.00000                 9.84250
THIORDXi                 0.00000              -340.24250
THMabc                 0.00001               -51.70037
THRAr_f                 0.00000                26.72450
THRD                 0.00000                32.40250
THRD_L                 0.13724                -2.16258
TKT1_f                 0.00000                 3.69295
TKT2_f                 0.00000                 1.50000
TMDPP_f                 0.00000               -18.44250
TMDS                 0.02469               -34.31801
TMPPP                 0.00000               -27.46336
TPI_f                 0.00000                 1.50000
TRDR                 0.06351                -1.50000
TRE6PH                 0.00000                26.02450
TREpts_f                 0.00000               -44.27287
TRPS1                 0.00000               -87.92450
TRPS2                 0.00187               -86.32450
TRPS3r                 0.00187                -1.50000
TRSARr_f                 0.00000               -38.30250
TYRTA_f                 0.00000                41.96191
UAAGDS                 0.00000               -49.13037
UAG2E_f                 0.01046                -1.50000
UAG4E_f                 0.02823                -1.50000
UAMAGS                 0.00000               -49.68915
UAMAS                 0.00000               -52.53037
UAPGR                 0.05858               -81.97992
UDALDL                 0.00000               -10.00587
UDCPDPpp                 0.00000                -1.50000
UDCPDPS                 0.00000              -465.66940
UDNDMx_f                 0.00000               -35.00528
UDPDPS                 0.00000               -26.98724
UDPG4E_f                 0.00000                 1.30000
UGLT_f                 0.00000                24.12450
UGMDDS                 0.00000               -12.15750
UMPK_f                 2.02774               -60.57874
UPPDC1                 0.00033               -84.42450
UPPDC2_f                 0.00000               -48.80000
UPPRTr_f                 0.00000                 1.50000
URCN_f                 0.00000                15.63742
UREA                 0.00000               -15.45163
URIDK2r                 0.00000               -35.02450
VALTA_f                 0.00000                 7.63742
XPPT                 0.00000                -8.41174
XTSNH                 0.00000                -3.30000
XYLOD_f                 0.00000                14.40250
ZNabc                 0.00000               -51.70037
GLULOD_b                 0.00000               -35.20054
GTHP_b                 0.00000               338.00325
DRBK_b                 0.00000                -7.34837
HPROzr_b                 0.00000               -42.55163
ASAD_b                 0.00000                 1.50000
MTHFR3_b                 0.00507              -106.27405
METB1r_b                 0.00000                19.78657
PUNP1_b                 0.00001               -11.55750
NNATr_b                 0.00000                21.46336
PRPPS_b                 0.00000                18.37287
OCBT_b                 1.54299               -51.00571
BGLK_b                 0.00000                14.94837
SHSL1r_b                 0.00000               -16.12124
CYTK11_b                 0.00033               -33.87612
PYNP1_b                 0.00000                14.46700
PUNP2_b                 0.00000               -20.48199
PUNP4_b                 0.00000                 7.44250
FOLR2_b                 0.00000                12.69620
PUNP6_b                 0.00001                15.84250
DURIPP_b                 0.02469                -1.50000
PUNP5_b                 0.00000                59.19150
PUNP7_b                 0.00000                19.96700
AMID2r_b                 0.00000                -3.00000
NADDPp_b                 0.00000                14.84587
TAHL_b                 0.00000               -17.95163
UAG2EMA_b                 0.00000                42.77287
LASP2OA_b                 0.00000               -12.18904
FF_31_b                 0.00000                90.80250
NP1_b                 0.00000               -28.70912
PSCVT_b                 0.00000                 1.50000
PNP_b                 0.00000                31.51537
UAGPT2_b                 0.00000                34.57287
3A2OA_b                 0.00000                -2.43742
3M2OBLOXRD_b                 0.00000                33.43742
3M2OPLOXRD_b                 0.00000                33.43742
3MTDC_b                 0.00000               250.38579
4M2OPLOXRD_b                 0.00000                34.63742
4MCO2D_b                 0.00000               245.38579
4OT_b                 0.00000                -0.00045
ACACT1r_b                 0.00000                 1.50000
ACACT2r_b                 0.00000               -17.00000
ACACT7r_b                 0.00000               -17.40000
ACGApts_b                 0.00000                30.87287
ACNMLr_b                 0.00000               -19.06455
ACOADH2_b                 0.00000               334.06258
ACOTA_b                 0.00000                -2.93742
ACTD2_b                 0.00000                 1.50000
ADAPAT_b                 0.00000                39.08708
ADK1_b                 0.00000                35.77450
ADKd_b                 0.00067               -68.94899
ADSL1_b                 0.00000                 1.50000
ADSL2r_b                 0.00000               -69.54899
AGDC_r_b                 0.00000               -29.47013
AGPR_b                 0.00000                 5.72450
AICART_b                 0.00000                16.94132
ALAALAr_b                 0.00000                14.30587
ALATA_D_b                 2.85411               -10.06455
ALCD1_b                 0.00000               -39.00250
ALCD19_b                 0.00000                -8.97801
ALCD2x_b                 0.00000               -37.45959
ALDD31_b                 0.00000                26.08328
AMANAPEr_b                 0.00000                -2.10000
AMAOTr_b                 0.00000                 0.58271
AMPEP10_b                 0.00000               -29.62450
AMPEP13_b                 0.00000               -67.24899
AOXSr_b                 0.00000                24.32450
APAT_b                 0.00000                -7.66258
ARABR_b                 0.00000               -38.47992
ARGSL_b                 0.00000                 1.97550
ASPT_b                 4.17968                -1.50000
ASPTA_b                 0.00000                 1.50000
AT_MBD_b                 0.00000                -2.80000
AT_MBD1_b                 0.00000                -2.80000
AT_MBD2_b                 0.00000                -2.80000
BETALOD_b                 0.00000                94.38579
CHOLOD_b                 0.00000                48.00000
CLPNS160_b                 0.00000               -28.52450
CYSTSr_b                 0.00000                36.95995
CYTK1_b                 0.00000                34.22450
CYTK2_b                 0.01744                -1.50000
DADA5_b                 0.00001                 8.15163
DADK_b                 0.02434                -1.50000
DAPDA_b                 0.00000                36.52724
DAPE_b                 0.00000               -33.92450
DGK1_b                 0.01974                -1.50000
DGLUO_b                 0.00000               -17.10250
DHDPRy_b                 0.00000               -47.87992
DHFR_b                 0.02471               -81.10442
DHNPA2_b                 0.00000               -13.13742
DHORTS_b                 2.07987                -4.21421
DHQD_b                 0.00000                 1.50000
