reaction   FLUX    DeltaG
CHOLOD_f                 0.00000               -48.00000
CHOLSabc                 0.00000               -19.56732
CHORM                 0.01063               -49.00000
CITL                 0.00000                21.88852
CLPNS160_f                 0.00000                28.52450
CPPPGO                 0.00034              -358.55107
CRNabc                 0.00000               -19.56732
CTBTabc                 0.00000               -19.56732
CTPS1                 1.91596               -28.94156
CTPS2                 0.00000               -32.14080
Cut1                 0.00000               -55.19182
CYSabc                 0.00809               -55.19182
CYSDS                 0.00000                12.03818
CYSGL                 0.00000               -18.98354
CYSS                 0.00000               -31.72172
CYSTGL                 0.00000                 1.30000
CYSTL                 1.16317                -1.50000
CYSTSr_f                 1.15811               -47.58632
CYTBD2                11.04000              -145.85069
CYTD                 0.00000               -16.48026
CYTK1_f                 0.22641               -34.22450
CYTK2_f                 0.00000                 1.50000
DADA5_f                 0.00000               -11.38026
DADK_f                 0.00000                 1.50000
DAPDA_f                 0.00000               -36.52724
DAPDC                 0.00000               -55.86874
DAPE_f                 0.00000                33.92450
DATPHs                 0.00000               -15.58026
DB4PS                 0.00002               -30.75707
DBTS                 0.00000                40.36536
DCMPDA                 0.00000               -26.38026
DCYTD                 0.00000               -23.68026
DDGLK                 0.00000               -41.64348
DGK1_f                 0.00033               -29.30552
DGLUO_f                 0.00000                15.53190
DHAD1                 0.02270               -30.96258
DHAD2                 0.00000               -30.96258
DHAD3                 0.00441               -30.96258
DHAK                 0.00000               -26.35640
DHAPT                 0.00000               -32.11292
DHDPRy_f                 0.00000                45.95907
DHDPS                 0.00000              -106.08156
DHFR_f                 0.00000                43.55907
DHFS                 0.00002               -81.74632
DHNPA2_f                 0.00002                -1.50000
DHORD                 2.07987               -89.37550
DHORD5                 0.00000               -19.00000
DHORTS_f                 0.00000                 2.64360
DHPS2                 0.00002               -29.37550
DHQD_f                 0.01253                -1.50000
DMATT                 0.00033               -43.47550
DNMPPA                 0.00000                55.87065
DPMVD                 0.00103               -57.72864
DPR_f                 0.00000                 4.93458
DRBabc                 0.00000               -19.56732
DRPA                 0.00000                 1.50000
DRPAr_f                 0.00000                 1.50000
DTMPK_f                 0.00067                -2.30000
E4PD_f                 0.00000               -35.12450
ECOAH1_f                 0.00000                 8.43742
ECOAH3_f                 0.00000                 5.53742
ECOAH7_f                 0.00000                 5.53742
EDA                 0.00000                22.38766
EHGLAT_f                 0.00000                16.77065
FACOAL160                 0.00000               -12.00000
FBA2_f                 0.00000                42.22450
FBA3_f                 6.53196                -1.50000
FDFP_f                 0.00000              -123.37550
FDH                 0.00000               -54.07426
FE2abc                 0.00000               -55.19182
FECRMabc                 0.00000               -19.56732
FERO_f                 0.00000                47.51132
FF_26_f                 0.00000               -39.20000
FFSD                 0.00000                 0.24615
FLDO                 0.00000               -50.15907
FLVR                 0.00000               -69.58357
FLVRx                 0.00000               -52.35640
FMNRx                 0.00000               -32.43190
FRTT                 0.00000               -45.07550
FRUK                 0.00000               -38.34348
FRUpts_f                 0.00000               -41.40000
FTHFCL                 0.00000               -67.99732
FTHFL                 0.00000               -46.70284
G1PACT                 0.16039               -12.37015
G1SAT_f                 0.00000                44.62450
G3PD                 0.00000               -10.35640
G3PD2_f                 0.00000                32.90268
G3PD6                 0.00000               -51.08089
G5SAD                 0.00000               -15.08156
G6PDA                 0.00000                12.23203
G6PDH2r_f                 5.14270                -3.48708
G6PI3                 0.00000               -35.19324
G6PP                 0.00220                -1.50000
GAL6PI_f                 0.00000                -1.50000
GALabcpp                 0.00000               -55.19182
GALKr_f                 0.00000               -35.14348
GALpts_f                 0.00000               -43.60000
GALS3                 0.00000                 1.70000
GALTpts_f                 0.00000               -43.20000
GALUi                 0.11919               -13.88102
GAMpts_f                 0.00000               -31.30000
GARFT_f                 0.00000                17.98102
GCALDD                 0.00002               -71.01158
GF6PTAr_f                 0.16796               -15.33126
GGTT                 0.00000               -45.07550
GHMT2r_f                 0.00000                16.96542
GK1_f                 0.00199               -36.52450
GLCOAD_f                 0.00000                17.75576
GLCRAL                 0.00000                30.83742
GLCRD                 0.00000               -35.06258
GLGC                 0.00000               -21.68102
GLN_NAct                 0.33358               -55.19182
GLNS                 0.54184               -16.39809
GLNSP2                 0.00000               -13.79809
GLTPD_f                 0.00000                20.03190
GLUabc                 0.00000               -19.56732
GLUDx                 0.00000                24.23201
GLUPRT                 0.00000               -37.07550
GLUR_f                 2.85411                -1.50000
GLUSx                 0.69566               -27.36125
GLUSy                 0.00000               -44.98842
GLXIII                 0.00000               -47.55640
GLXO1_f                 0.00000               -16.62450
GLYALDDr_f                 0.00000               -40.32450
GLYASNabc                 0.00000               -19.56732
GLYASPtr                 0.00000               -19.56732
GLYAT                 0.00000                21.90000
GLYC3Pabc                 0.00000                 2.37615
GLYD_f                 0.00000               -35.13190
GLYGLUtr                 0.00000               -19.56732
GLYOX                 0.00000               -18.21898
GLYPRO__Ltr                 0.00000               -19.56732
GMHEPAT                 0.00000               -25.98102
GMHEPK                 0.00000               -30.44348
GMHEPPA                 0.00000                20.24615
GND                 5.14270                -5.70966
GNNUC                 0.00000                33.82450
GRTT                 0.00033               -45.07550
GTHRDHpp                 0.00000                33.82450
GUAPRT                 0.13014               -42.00000
GUI1_f                 0.00000                 0.60000
HACD1_f                 0.00000                19.83190
HACD2_f                 0.00000                22.43190
HACD3_f                 0.00000                22.53190
HACD4_f                 0.00000                22.53190
HACD5_f                 0.00000                22.53190
HACD6_f                 0.00000                22.53190
HACD7_f                 0.00000               -22.53190
HACD9_f                 0.00000                22.53190
HADPCOADH3_f                 0.00000                22.53190
HBZOPT                 0.00000               -48.77550
HCO3E_f                 0.15100                -2.95576
HCYSMT                 0.00000               -74.62450
HEMEti                 0.00000               -19.56732
HEXTT                 0.00000               -45.07550
HIBD_f                 0.00000                24.93190
HISabc_f                 0.00000               -19.56732
HISDr_f                 0.00000                25.93818
HISTD                 0.00000                 2.70740
HMBS                 0.00034              -231.09493
HMGCOARi                 0.00103               -40.38073
HMGCOAS                 0.00000               -21.45640
HMGCOASi                 0.00103               -21.45640
HSDy_f                 0.00000                44.05907
HSERTA                 0.00506               -41.40000
HSTPTr_f                 0.00000                40.84899
HXPRT                 0.00000                19.40820
ICHORS_f                 0.00000                 0.90000
ICHORT                 0.00000               -41.40000
IGPDH                 0.00312               -36.56258
IGPS                 0.00187               -44.31917
ILETA_f                 0.22109               -14.25385
IMACTD_f                 0.00000               -26.92450
IMPC_f                 0.00000                 1.50000
IMPD                 0.00000                -5.98922
INSH                 0.00000                -6.80000
IPDDI_f                 0.00033                -4.80000
IPMD                 0.00000                22.53190
IPPMIa_f                 0.00000                 2.23742
IPPMIb_f                 0.00000                 6.33742
IPPS                 0.00000               -29.35640
Kabc                 0.00000               -55.19182
KARA1                 0.02270               -40.15907
KARA1i                 0.00000               -40.15907
KARA2i                 0.00441               -40.15907
KAS13                 0.01827             -1115.21472
KAS17                 0.00000             -1034.25565
KAS8                 0.00703              -980.36525
LACpts_f                 0.00000               -42.40000
LCADi                 0.00000               -35.52450
LDH_D_f                 0.00000                27.23190
LDH_L_f                 0.00000                30.33190
LEUTA_f                 0.05893                -8.05385
LPLIPAL1G180pp                 0.00000                -3.81898
LPLIPAL2E160                 0.00000               -13.01898
LPLIPAL2G160                 0.00000               -13.01898
LPLIPAL2G180                 0.00000               -10.51898
LYSabc                 0.00000               -55.19182
LYSDC                 0.00000               -27.24424
M1PD                 0.00000                18.66316
MALT_f                 0.00000               -14.20000
MALTabc                 0.00000               -19.56732
MALTAT                 0.00000               -16.40000
MALTHXabc                 0.00000               -19.56732
MALTpts_f                 0.00000               -38.80000
MALTTRabc                 0.00000               -19.56732
MAN6PI                 0.00000                 3.53126
MANAO_f                 0.00000                20.43190
MANpts_f                 0.00000               -44.00000
MBCOA3                 0.00000              -339.06258
MDRPD                 0.00000               -35.06258
ME1_rev                 0.00000               -22.03684
METabc                 0.00000               -55.19182
METALAtr                 0.00000               -19.56732
METDabc                 0.00000               -19.56732
METSOX1abc                 0.00000               -19.56732
METSOX2abc                 0.00000               -19.56732
MEVK2                 0.00000                -1.01898
MEVK3                 0.00000               -34.34348
MEVK4                 0.00000               -34.84348
MG2abc                 0.00000               -55.19182
MHPGLUT                 0.00000               -74.62450
MLTG1                 0.00000               -15.00000
MMSAD3                 0.00000               -17.04976
MNabc                 0.00000               -55.19182
MNLpts_f                 0.00000               -42.50000
MNNH                 0.00000               -29.06258
MOBDabc                 0.00000               -55.19182
MOHMT                 0.00002               -18.85907
MTAN                 0.00000               -15.50000
MTHFC_f                 0.00312                -1.50000
MTHFD_f                 0.00312                -1.50000
MTRK                 0.00000               -23.84348
NA6PH_f                 0.00000                -3.20000
NABTNO                 0.00000               -26.72450
NADH10                 0.00000               -66.35640
NADH7                 0.00000               -66.35640
NALN6                 0.00000                37.62450
NAPRTr_f                 0.00000                33.08102
NBAH_f                 0.00000                -0.30000
NDPK1_f                 0.13325                -2.00000
NDPK2_f                 2.15740                -1.50000
NDPK3_f                 0.20864               -35.32450
NDPK4_f                 0.00067               -70.24899
NDPK5_f                 0.00000               -35.24348
NDPK6_f                 0.00000               -36.62450
NDPK7_f                 0.00033               -67.44899
NDPK8_f                 0.00067               -67.54899
NDPK9                 0.00000               -34.32450
NIabc                 0.00001               -55.19182
NNAM                 0.00000                41.22526
NO3R2_f                 3.80291               -93.50648
NO3R2pp                 0.00000              -125.14979
NODOx                 1.90146              -406.39569
NODOy                 0.00000              -424.62287
NOPD                 0.00000                44.41292
NPHSr_f                 0.00000              -102.06258
NTP11                 0.00000                 8.92717
NTRIR2x                 3.38300              -405.18214
NTRIR2y                 0.00000              -457.86366
OBTFL_f                 0.00000                31.62450
OCTD                 0.00000                52.55907
OIVD1r                 0.05893               -27.44976
OIVD2                 0.00876               -26.24976
OIVD3                 0.22550               -26.24976
OMPDC                 2.07987                -5.22258
OPHHXy                 0.00000              -463.95907
ORNDC                 0.00000               -32.24424
ORNTAC                 0.00000               -33.32450
ORNTAr_f                 0.00000                23.17065
ORPT_f                 2.07987                -1.50000
P5CD                 0.00000                16.48156
PAPPT2_f                 0.00000                19.79732
PAPPT3                 0.00000                -1.50000
PAPSR                 0.00000               -38.35962
PC                 0.00000                 7.25652
PDHbr_f                 0.00000                -3.50000
PDHcr                 0.00000                44.15640
PEPC_f                 0.00000                 1.50000
PPTT                 0.00000               -45.07550
PRAGS                 0.00000               -18.29732
PRAI_f                 0.00187                -9.80000
PRASCS                 0.00000              -102.42182
PRMICIi_f                 0.00312               -45.42450
PROabc                 0.00000               -19.56732
PSERT                 0.00000                37.47065
PTPATi                 0.00002               -33.98102
PTRCabc                 0.00000               -19.56732
PUTA3_f                 0.00000                 1.50000
PYK3_f                 0.00000                -7.75652
PYRZAM                 0.00000                 3.10076
RAFH_f                 0.00000               -24.10000
RBFSb                 0.00001               -28.75101
RE0453C_f                 0.00000                -2.80000
RETOx_f                 0.00000                14.83190
RHCCE                 0.00001               -45.28708
RIBabc                 0.00000               -19.56732
RIBabc2                 0.00000               -19.56732
RNDR1                 0.02568               -32.89716
RNDR2                 0.00000               -61.70268
RNDR3                 0.01777               -28.49716
RNDR4                 0.00000               -67.02166
RNTR1                 0.00000              -100.94615
RNTR2                 0.00000               -94.94615
RNTR3                 0.00000               -60.62166
RNTR4                 0.00000              -102.14615
RPE_f                 1.96402                -3.40000
RPI_f                 0.00000                 2.16874
RSLML_f                 0.00000                29.43742
S1AGPA                 0.00000                -3.60000
S7PIr_f                 0.00000                 0.31898
SADT2                 0.00000                15.52166
SALCOD                 0.00000              -459.97614
SBTpts_f                 0.00000               -45.30000
SDPDS                 0.00000                17.56258
SERAT_f                 0.00000               -54.62450
SERD_L                 0.77500               -49.18632
SERD_Lr                 0.77500               -49.18632
SHK3Dr_f                 0.00000                64.64615
SHSL4r                 0.00000               -19.41822
SMALO                 0.00000               -23.67065
SPMDabc                 0.00000               -19.56732
SPMDAT1                 0.00000               -19.71898
SPMDAT2                 0.00000               -19.71898
SQLS                 0.00000              -118.77266
SSALy                 0.00000                 1.56526
SUCBZS                 0.00000               -33.06258
SUCD1                 0.00000                40.12450
SUCpts_f                 0.00000               -48.70000
SUCR                 0.00000               -24.70000
TAGO                 0.02297                -1.50000
TALA_f                 0.00000                 1.50000
TGBPA_f                 0.00000                35.47474
THDPS                 0.00000                 0.32166
THIORDXi                 0.00000              -338.32166
THMabc                 0.00001               -55.19182
THRAr_f                 0.00000                19.04976
THRD                 0.00000                30.83190
THRD_L                 0.00441                -6.96182
TKT1_f                 0.00000                 1.50000
TKT2_f                 0.00000                 5.21850
TMDPP_f                 0.00000               -23.84615
TMDS                 0.02469               -68.02166
TMPPP                 0.00000                -8.35652
TPI_f                 0.00000                 1.43684
TRDR                 0.04344                -1.50000
TRE6PH                 0.00000                11.74615
TREpts_f                 0.00000               -50.10000
TRPS1                 0.00000               -87.92450
TRPS2                 0.00187               -86.32450
TRPS3r                 0.00187                -1.50000
TRSARr_f                 0.00000               -36.73190
TYRTA_f                 0.00000                63.29515
UAAGDS                 0.00000               -52.62182
UAG2E_f                 0.01046                -1.50000
UAG4E_f                 0.02823                -1.50000
UAMAGS                 0.00000               -56.32182
UAMAS                 0.00000               -56.02182
UAPGR                 0.05858               -80.05907
UDALDL                 0.00000               -13.49732
UDCPDPpp                 0.00000               -20.37299
UDCPDPS                 0.00000              -325.37952
UDNDMx_f                 0.00000               -33.42245
UDPDPS                 0.00000                -9.45101
UDPG4E_f                 0.00000                 1.30000
UGLT_f                 0.00000                -2.60000
UGMDDS                 0.00000                -1.50000
UMPK_f                 2.02774               -59.34615
UPPDC1                 0.00033               -78.60146
UPPDC2_f                 0.00000               -42.97696
UPPRTr_f                 0.00000                 1.50000
URCN_f                 0.00000                15.63742
UREA                 0.00000               -22.02373
URIDK2r                 0.00000               -35.02450
VALTA_f                 0.00000                28.97065
XPPT                 0.00000                -1.77550
XTSNH                 0.00000                -3.30000
XYLOD_f                 0.00000                12.83190
ZNabc                 0.00000               -55.19182
GLULOD_b                 0.00000               -13.86731
GTHP_b                 0.00000               334.86204
DRBK_b                 0.00000               -16.24348
HPROzr_b                 0.00000               -40.98102
ASAD_b                 0.00000                 1.50000
MTHFR3_b                 0.00507              -100.86175
METB1r_b                 0.00000                31.98354
PUNP1_b                 0.00001                22.14615
NNATr_b                 0.00000                 2.35652
PRPPS_b                 0.00000                11.27474
OCBT_b                 0.41933               -47.85167
BGLK_b                 0.00000                30.79732
SHSL1r_b                 0.00000               -20.71822
CYTK11_b                 0.00033                -1.50000
PYNP1_b                 0.00000                12.54615
PUNP2_b                 0.00000                20.54615
PUNP4_b                 0.02007               -22.77834
FOLR2_b                 0.00000               -22.57805
PUNP6_b                 0.00001                21.24615
DURIPP_b                 0.02469                -1.50000
PUNP5_b                 0.00000                21.64615
PUNP7_b                 0.00000                18.04615
AMID2r_b                 0.00000                 1.79924
NADDPp_b                 0.00000                17.98708
TAHL_b                 0.00000               -16.38102
UAG2EMA_b                 0.00000                38.04883
LASP2OA_b                 0.00000               -31.95167
FF_31_b                 0.00000                89.23190
NP1_b                 0.00000               -29.05936
PSCVT_b                 0.00000                 1.50000
PNP_b                 0.00000                31.16513
UAGPT2_b                 0.00000                29.84883
3A2OA_b                 0.00000               -23.77065
3M2OBLOXRD_b                 0.00000                67.60615
3M2OPLOXRD_b                 0.00000                67.60615
3MTDC_b                 0.00000               251.95640
4M2OPLOXRD_b                 0.00000                68.80615
4MCO2D_b                 0.00000               246.95640
4OT_b                 0.00000                -0.00045
ACACT1r_b                 0.00000                 1.50000
ACACT2r_b                 0.00000               -17.00000
ACACT7r_b                 0.00000               -17.40000
ACGApts_b                 0.00000                36.70000
ACNMLr_b                 0.00000               -13.23742
ACOADH2_b                 0.00000               334.06258
ACOTA_b                 0.00000               -24.27065
ACTD2_b                 0.00000                 1.50000
ADAPAT_b                 0.00000                17.75385
ADK1_b                 0.00000                35.77450
ADKd_b                 0.00000               -68.94899
ADSL1_b                 0.00000                 1.50000
ADSL2r_b                 0.00000               -77.14899
AGDC_r_b                 0.00000                -2.49726
AGPR_b                 0.00000                 5.72450
AICART_b                 0.00000                14.40338
ALAALAr_b                 0.00000                17.79732
ALATA_D_b                 2.85411               -25.57065
ALCD1_b                 0.00000               -37.43190
ALCD19_b                 0.00000                -7.40740
ALCD2x_b                 0.85971               -28.21424
ALDD31_b                 0.00000                29.22450
AMANAPEr_b                 0.00000                -2.10000
AMAOTr_b                 0.00000                 0.58271
AMPEP10_b                 0.00000               -29.62450
AMPEP13_b                 0.00000               -67.24899
AOXSr_b                 0.00000                22.86874
APAT_b                 0.00000                -7.66258
ARABR_b                 0.00000               -36.55907
ARGSL_b                 0.00000                 1.50000
ASPT_b                 3.68221                -4.30076
ASPTA_b                 0.00000                 1.50000
AT_MBD_b                 0.00000                -2.80000
AT_MBD1_b                 0.00000                -2.80000
AT_MBD2_b                 0.00000                -2.80000
BETALOD_b                 0.00000                95.95640
CHOLOD_b                 0.00000                48.00000
CLPNS160_b                 0.00000               -28.52450
CYSTSr_b                 0.00000                47.58632
CYTK1_b                 0.00000                34.22450
CYTK2_b                 0.01744                -1.50000
DADA5_b                 0.00001                11.38026
DADK_b                 0.02501                -1.50000
DAPDA_b                 0.00000                36.52724
DAPE_b                 0.00000               -33.92450
DGK1_b                 0.00000                29.30552
DGLUO_b                 0.00000               -15.53190
DHDPRy_b                 0.00000               -45.95907
DHFR_b                 0.02471               -43.55907
DHNPA2_b                 0.00000                 1.50000
DHORTS_b                 2.07987                -2.64360
DHQD_b                 0.00000                 1.50000
